cluster_size,block_id,sm_id,cluster_id
1,144,134,144
1,136,78,136
1,128,14,128
1,130,30,130
1,145,135,145
1,137,79,137
1,129,15,129
1,131,31,131
1,132,46,132
1,124,132,124
1,146,140,146
1,116,76,116
1,133,47,133
1,108,12,108
1,147,141,147
1,110,28,110
1,42,68,42
1,138,92,138
1,112,44,112
1,125,133,125
1,43,69,43
1,139,93,139
1,126,138,126
1,142,120,142
1,117,77,117
1,34,4,34
1,38,36,38
1,104,130,104
1,113,45,113
1,134,62,134
1,109,13,109
1,35,5,35
1,122,118,122
1,50,124,50
1,96,74,96
1,92,42,92
1,127,139,127
1,143,121,143
1,48,110,48
1,111,29,111
1,36,20,36
1,114,60,114
1,44,82,44
1,105,131,105
1,106,136,106
1,118,90,118
1,135,63,135
1,102,116,102
1,40,52,40
1,37,21,37
1,120,104,120
1,39,37,39
1,97,75,97
1,98,88,98
1,119,91,119
1,140,106,140
1,94,58,94
1,46,96,46
1,123,119,123
1,51,125,51
1,88,10,88
1,93,43,93
1,141,107,141
1,100,102,100
1,49,111,49
1,115,61,115
1,45,83,45
1,90,26,90
1,107,137,107
1,103,117,103
1,41,53,41
1,121,105,121
1,91,27,91
1,99,89,99
1,95,59,95
1,47,97,47
1,89,11,89
1,101,103,101
1,32,122,32
1,24,66,24
1,33,123,33
1,25,67,25
1,6,0,6
1,16,2,16
1,7,1,7
1,17,3,17
1,8,16,8
1,9,17,9
1,20,34,20
1,18,18,18
1,21,35,21
1,10,32,10
1,86,128,86
1,26,80,26
1,11,33,11
1,78,72,78
1,19,19,19
1,14,64,14
1,70,8,70
1,74,40,74
1,27,81,27
1,15,65,15
1,68,126,68
1,30,108,30
1,0,142,0
1,87,129,87
1,4,146,4
1,60,70,60
1,22,50,22
1,12,48,12
1,79,73,79
1,84,114,84
1,56,38,56
1,80,86,80
1,52,6,52
1,28,94,28
1,1,143,1
1,71,9,71
1,76,56,76
1,66,112,66
1,2,144,2
1,75,41,75
1,54,22,54
1,29,95,29
1,13,49,13
1,72,24,72
1,82,100,82
1,58,54,58
1,62,84,62
1,5,147,5
1,69,127,69
1,23,51,23
1,73,25,73
1,85,115,85
1,67,113,67
1,57,39,57
1,81,87,81
1,61,71,61
1,31,109,31
1,77,57,77
1,59,55,59
1,3,145,3
1,53,7,53
1,83,101,83
1,64,98,64
1,63,85,63
1,55,23,55
1,65,99,65
2,76,70,38
2,133,127,66
2,77,71,38
2,132,126,66
2,12,6,6
2,13,7,6
2,28,22,14
2,29,23,14
2,45,39,22
2,90,84,45
2,3,145,1
2,78,72,39
2,135,129,67
2,60,54,30
2,118,112,59
2,44,38,22
2,2,144,1
2,91,85,45
2,79,73,39
2,134,128,67
2,14,8,7
2,119,113,59
2,61,55,30
2,15,9,7
2,104,98,52
2,31,25,15
2,105,99,52
2,30,24,15
2,4,146,2
2,46,40,23
2,92,86,46
2,121,115,60
2,47,41,23
2,62,56,31
2,5,147,2
2,93,87,46
2,120,114,60
2,63,57,31
2,107,101,53
2,106,100,53
2,7,1,3
2,6,0,3
2,39,33,19
2,23,17,11
2,38,32,19
2,22,16,11
2,70,64,35
2,71,65,35
2,0,142,0
2,54,48,27
2,1,143,0
2,55,49,27
2,74,68,37
2,11,5,5
2,75,69,37
2,10,4,5
2,27,21,13
2,42,36,21
2,26,20,13
2,130,124,65
2,88,82,44
2,43,37,21
2,117,111,58
2,131,125,65
2,58,52,29
2,89,83,44
2,129,123,64
2,116,110,58
2,73,67,36
2,59,53,29
2,102,96,51
2,103,97,51
2,128,122,64
2,8,2,4
2,72,66,36
2,9,3,4
2,41,35,20
2,87,81,43
2,40,34,20
2,86,80,43
2,24,18,12
2,115,109,57
2,56,50,28
2,25,19,12
2,114,108,57
2,57,51,28
2,101,95,50
2,100,94,50
2,81,75,40
2,136,130,68
2,137,131,68
2,16,10,8
2,80,74,40
2,17,11,8
2,32,26,16
2,33,27,16
2,142,136,71
2,48,42,24
2,49,43,24
2,143,137,71
2,94,88,47
2,123,117,61
2,65,59,32
2,95,89,47
2,108,102,54
2,122,116,61
2,64,58,32
2,109,103,54
2,140,134,70
2,84,78,42
2,141,135,70
2,85,79,42
2,21,15,10
2,20,14,10
2,37,31,18
2,36,30,18
2,52,46,26
2,146,140,73
2,99,93,49
2,53,47,26
2,147,141,73
2,98,92,49
2,126,120,63
2,68,62,34
2,127,121,63
2,69,63,34
2,112,106,56
2,113,107,56
2,83,77,41
2,138,132,69
2,139,133,69
2,82,76,41
2,18,12,9
2,19,13,9
2,35,29,17
2,34,28,17
2,50,44,25
2,144,138,72
2,97,91,48
2,51,45,25
2,145,139,72
2,96,90,48
2,124,118,62
2,67,61,33
2,125,119,62
2,110,104,55
2,66,60,33
2,111,105,55
4,68,68,17
4,9,5,2
4,69,69,17
4,8,4,2
4,40,36,10
4,10,20,2
4,41,37,10
4,11,21,2
4,70,82,17
4,71,83,17
4,98,110,24
4,42,52,10
4,99,111,24
4,43,53,10
4,97,97,24
4,81,75,20
4,121,131,30
